,name_id,term,name,sex,party,partyGroup,areaName,onboardDate,leaveFlag,leaveDate,leaveReason,party_num,party_group_num,birth_date,age,place_of_birth,degree,incumbent,valid_votes,total_votes,electorate,pop,electorate_over_pop_pct,total_votes_over_electorate_pct,elected_over_cands_pct,vote,vote_over_total_votes_pct,vote_margin,vote_over_total_votes_pct_margin,constituency,tier,lnpopudensity,experience,defect_date,defect_period,president,vice_president
89,208,8,賴士葆,1,中國國民黨,中國國民黨,台北市第8選舉區,2012-02-01,否,,,1,1,1951-06-20,61,臺中市,6,1,185867,187673,240357,308037,78.03,78.08,20.0,117892,63.42,63975,34.42,臺北市8,1,9.622310638427734,3,,,0,0
90,210,8,賴振昌,1,台灣團結聯盟,台灣團結聯盟,全國不分區及僑居國外國民,2014-02-10,否,,,95,95,1958-01-15,54,臺北市,6,2,,,,,,,,,,,,全國不分區及僑居國外國民,2,,0,,,0,0
91,214,8,趙天麟,1,民主進步黨,民主進步黨,高雄市第7選舉區,2012-02-01,否,,,16,16,1973-03-08,39,臺北市,5,2,184259,186044,243236,298481,81.49,76.49,25.0,98341,53.37,14962,8.119999999999997,高雄市7,1,9.73849868774414,0,,,0,0
92,217,8,邱志偉,1,民主進步黨,民主進步黨,高雄市第2選舉區,2012-02-01,否,,,16,16,1972-07-24,40,臺灣省,6,2,192021,194515,249535,316700,78.79,77.95,33.33,96818,50.42,3916,2.039999999999999,高雄市2,1,7.3627848625183105,0,,,0,0
93,218,8,邱文彥,1,中國國民黨,中國國民黨,全國不分區及僑居國外國民,2012-02-01,否,,,1,1,1953-07-17,59,臺灣省,6,2,,,,,,,,,,,,全國不分區及僑居國外國民,2,,0,,,0,0
94,222,8,邱議瑩,2,民主進步黨,民主進步黨,高雄市第1選舉區,2012-02-01,否,,,16,16,1971-06-01,41,臺灣省,5,1,165540,167791,223797,276034,81.08,74.97,50.0,89913,54.31,14286,8.630000000000003,高雄市1,1,5.791854381561279,2,,,0,0
95,230,8,鄭天財 Sra Kacaw,1,中國國民黨,中國國民黨,平地原住民,2012-02-01,否,,,1,1,1956-12-16,56,臺灣省,3,2,,,,,,,,,,,,平地原住民,3,,0,,,0,0
96,233,8,鄭汝芬,2,中國國民黨,中國國民黨,彰化縣第3選舉區,2012-02-01,否,,,1,1,1957-02-16,55,臺灣省,3,1,181321,188206,269777,344698,78.26,69.76,50.0,101352,55.89,21383,11.79,彰化縣3,1,6.760020732879639,1,,,0,0
97,237,8,鄭麗君,2,民主進步黨,民主進步黨,全國不分區及僑居國外國民,2012-02-01,否,,,16,16,1969-06-19,43,臺北市,5,2,,,,,,,,,,,,全國不分區及僑居國外國民,2,,0,,,0,0
98,242,8,陳亭妃,2,民主進步黨,民主進步黨,台南市第3選舉區,2012-02-01,否,,,16,16,1974-07-19,38,臺南市,5,1,225884,228982,305200,389881,78.28,75.03,33.33,139301,61.66,55206,24.439999999999998,臺南市3,1,9.118074417114258,1,,,0,0
99,244,8,陳其邁,1,民主進步黨,民主進步黨,全國不分區及僑居國外國民,2012-02-01,否,,,16,16,1964-12-23,48,臺灣省,5,2,,,,,,,,,,,,全國不分區及僑居國外國民,2,,3,,,0,0
100,245,8,陳唐山,1,民主進步黨,民主進步黨,台南市第5選舉區,2012-02-01,否,,,16,16,1935-09-16,77,臺南市,6,2,230514,233999,308679,394777,78.19,75.81,33.33,120401,52.23,13782,5.979999999999997,臺南市5,1,7.462966918945312,2,,,0,0
101,248,8,陳學聖,1,中國國民黨,中國國民黨,桃園縣第3選舉區,2012-02-01,否,,,1,1,1957-09-28,55,臺北市,5,2,181338,183645,241543,310262,77.85,76.03,25.0,97654,53.85,25259,13.93,桃園縣3,1,8.498342514038086,2,,,0,0
102,250,8,陳怡潔,2,親民黨,立院新聯盟,全國不分區及僑居國外國民,2013-03-22,否,,,90,999,1979-09-09,33,臺北市,6,2,,,,,,,,,,,,全國不分區及僑居國外國民,2,,0,,,0,0
103,251,8,陳明文,1,民主進步黨,民主進步黨,嘉義縣第2選舉區,2012-02-01,否,,,16,16,1954-05-13,58,臺灣省,3,1,157305,159547,222969,280252,79.56,71.56,50.0,86828,55.19,16351,10.39,嘉義縣2,1,5.803024291992188,2,,,0,0
104,255,8,陳根德,1,中國國民黨,中國國民黨,桃園縣第1選舉區,2012-02-01,否,,,1,1,1956-01-18,56,臺灣省,5,1,185468,188467,252699,338929,74.56,74.58,50.0,102648,55.34,19828,10.690000000000005,桃園縣1,1,8.566106796264648,4,,,0,0
105,257,8,陳歐珀,1,民主進步黨,民主進步黨,宜蘭縣選舉區,2012-02-01,否,,,16,16,1962-10-12,50,臺灣省,5,2,246274,252204,346844,443447,78.22,72.71,50.0,127303,51.69,8332,3.3900000000000006,宜蘭縣,1,7.031970977783203,0,,,0,0
106,258,8,陳淑慧,2,中國國民黨,中國國民黨,全國不分區及僑居國外國民,2012-02-01,否,,,1,1,1957-10-06,55,高雄市,5,1,,,,,,,,,,,,全國不分區及僑居國外國民,2,,1,,,0,0
107,262,8,陳碧涵,2,中國國民黨,中國國民黨,全國不分區及僑居國外國民,2012-02-01,否,,,1,1,1960-10-15,52,臺灣省,6,2,,,,,,,,,,,,全國不分區及僑居國外國民,2,,0,,,0,0
